iter	RMSE
0	2826.575224
1	2744.669309
2	2665.383754
3	2588.327334
4	2513.912928
5	2441.29709
6	2371.148241
7	2302.877332
8	2236.704765
9	2172.303713
10	2110.043529
11	2049.528812
12	1990.383727
13	1933.481016
14	1877.849168
15	1823.885197
16	1771.607053
17	1720.837035
18	1671.601445
19	1623.639869
20	1577.554652
21	1532.540787
22	1488.794299
23	1446.499573
24	1405.275918
25	1365.599435
26	1326.942728
27	1289.48432
28	1253.106145
29	1217.761693
30	1183.572145
31	1150.464234
32	1118.470969
33	1087.142825
34	1056.88824
35	1027.404148
36	998.870263
37	971.1253601
38	944.1258089
39	918.103134
40	892.8365682
41	868.4364828
42	844.8792721
43	822.0789081
44	799.8143415
45	778.1438151
46	757.3158969
47	737.093469
48	717.6141325
49	698.6329763
50	680.2713212
51	662.4431259
52	645.3243684
53	628.7128147
54	612.456307
55	596.7868198
56	581.5725214
57	566.9631655
58	552.8335474
59	539.0636515
60	525.7326533
61	512.9413404
62	500.6046886
63	488.6823982
64	477.0025527
65	465.888155
66	455.1041812
67	444.6022127
68	434.6341886
69	424.9374092
70	415.5310446
71	406.4459601
72	397.77375
73	389.3630928
74	381.2973279
75	373.4737919
76	365.9296677
77	358.6650965
78	351.6919145
79	344.9977122
80	338.6079302
81	332.4277433
82	326.4758906
83	320.7826138
84	315.3133615
85	310.1009461
86	305.0387278
87	300.2284584
88	295.5891047
89	291.1292467
90	286.8832481
91	282.805923
92	278.9087595
93	275.2309483
94	271.6759458
95	268.2764598
96	265.0179999
97	261.9524916
98	258.9842312
99	256.1563606
100	253.4464221
101	250.8744897
102	248.4000934
103	246.0462867
104	243.8174806
105	241.7082618
106	239.6952002
107	237.7597102
108	235.9245763
109	234.1866102
110	232.5397277
111	230.9629312
112	229.4707838
113	228.0508629
114	226.6917181
115	225.4116931
116	224.1874992
117	223.0454564
118	221.9597021
119	220.9256826
120	219.9383027
121	219.0071665
122	218.1210779
123	217.2897955
124	216.494769
125	215.7508305
126	215.0248535
127	214.3542475
128	213.709973
129	213.1117089
130	212.5437339
131	211.9987272
132	211.491283
133	211.0051189
134	210.5470993
135	210.1155814
136	209.7097848
137	209.3190694
138	208.9361978
139	208.5823486
140	208.2487787
141	207.9230929
142	207.6289659
143	207.340936
144	207.0694367
145	206.8090734
146	206.5721291
147	206.3278382
148	206.1088406
149	205.8985238
150	205.6958254
151	205.5072993
152	205.3332421
153	205.1622296
154	205.0069313
155	204.8496476
156	204.6937699
157	204.5424369
158	204.3999132
159	204.2663022
160	204.1375362
161	204.0105165
162	203.8934949
163	203.7808534
164	203.6710863
165	203.5743098
166	203.4704801
167	203.3667245
168	203.2675994
169	203.172004
170	203.0820648
171	203.0120564
172	202.9360887
173	202.862926
174	202.7895165
175	202.7306625
176	202.667517
177	202.6018391
178	202.5349473
179	202.4708413
180	202.4037073
181	202.3490027
182	202.2937796
183	202.2366985
184	202.182744
185	202.1382662
186	202.0817612
187	202.0348166
188	201.9869099
189	201.9462755
190	201.8996324
191	201.8594925
192	201.8204831
193	201.7782283
194	201.7434739
195	201.6930678
196	201.6467108
197	201.6072521
198	201.5728509
199	201.533687
200	201.4932723
201	201.4607744
202	201.4340811
203	201.4029199
204	201.3744916
205	201.3479247
206	201.3149423
207	201.2939274
208	201.2690845
209	201.2462348
210	201.21147
211	201.1819829
212	201.1543537
213	201.1312895
214	201.10307
215	201.078925
216	201.0411682
217	201.0138085
218	200.9907395
219	200.9723704
220	200.9471948
221	200.9229378
222	200.9086891
223	200.8796948
224	200.854918
225	200.8171361
226	200.7884362
227	200.7727595
228	200.7455226
229	200.7133019
230	200.6898136
231	200.6673453
232	200.6461388
233	200.6347092
234	200.6059247
235	200.587533
236	200.5617813
237	200.5390584
238	200.522629
239	200.4988739
240	200.4821352
241	200.4626818
